,tweets
1463,"['@Saplings13 @GBNEWS I actually lived and worked in Lebanon for a year, with Syrian refugees, unlike you. You have absolutely no life experience or educational background that would imply you have any understanding of the situation. How you aren’t embarrassed by this conversation I’ll never know 😂']"
1464,"[""@GMB @adilray @thequentinletts Quentin has no answers as to why the Government doesn't offer safe routes to Syrian or Afghan asylum seekers or refugees.\nIf the Government doesn't want dead bodies or human trafficking then they could simply create safe application and ferrying system.""]"
1465,"['@Saplings13 @GBNEWS Hahahahaha omg you doubled down on that, how embarrassing. Try telling that to Lebanon. A tiny country with hyperinflation is the best placed to take millions of Syrian refugees 😂 surely you are a parody.']"
1466,"[""@VickyTennant @Rim_Turkmani @UWEBristol @KaldorM @jobahout @mouradyara7 @ifi_aub @ETH_en @MazenGharibah @lseideas In 'The Syrian refugee ‘crisis’ and its lessons: past, present &amp; future trajectories', hear from Eleonore Kofman (@MiddlesexUni), @a_alrababah (@ImmigrationLab @ETH_en), @MSNIMER (@istanbuledutr) &amp; @mouradyara7 (@ifi_aub).\n#SyrianRefugees\n\nTue 21 June👇\nhttps://t.co/Vi4OEkc5D8""]"
1467,['@Akritas1997 @tcsavunma Do u want some Syrian refugees']
1468,['Noura Al-Khalif married a #Daesh supporter and then wound up without her husband in a Syrian #camp viewed by many as the last surviving pocket of the so-called “caliphate”.\n \n#jordannews #syria #refugees \nhttps://t.co/rER8ORsQYY']
1469,"['As humanitarian needs worsen inside #Syria, civil society organizations have documented the increasing deportations and forced returns of #Syrianrefugees and asylum seekers to Syria by host countries.\nhttps://t.co/ytJ17bSNtM']"
1470,"['@ThatTimWalker STOP THE MIGRANT BOATS: Our government, must arrest the illegal boat traffickers, put them in prison, use their illegally gained money to fund supportive action! Migrants, refugees don’t only come from Ukraine, currently NO Visa systems for legal Afghan and Syrian refugees.']"
1471,"['@Bob__Hudson @ThatTimWalker STOP THE MIGRANT BOATS: Our government, must arrest the illegal boat traffickers, put them in prison, use their illegally gained money to fund supportive action! Migrants, refugees don’t only come from Ukraine, currently NO Visa systems for legal Afghan and Syrian refugees.']"
1472,"[""@VickyTennant @Rim_Turkmani @UWEBristol @KaldorM In our session on 'The refugee challenge in Lebanon, Turkey &amp; Jordan', we hear from experts on the ground @jobahout &amp; @mouradyara7 (@ifi_aub), Dominik Hangartner (@ETH_en) &amp; @MazenGharibah (@lseideas). \n\nTue 21 June, get your tickets here:\nhttps://t.co/Vi4OEjUuey\n#SyrianRefugees""]"
1473,"['@drmel57 @bmay Refugees don’t have to stay in the first country they get to, that’s a myth.  The issue here is there is no way a Syrian or an Iraqi for example can apply for asylum here unless he tries his luck on a boat, whereas a Ukrainian can.']"
1474,"['@DerekCunnington @Simplex2014 @pritipatel STOP THE MIGRANT BOATS: Our government, must arrest the illegal boat traffickers, put them in prison, use their illegally gained money to fund supportive action! Migrants, refugees don’t only come from Ukraine, currently NO Visa systems for legal Afghan and Syrian refugees.']"
1475,"['@Simplex2014 @pritipatel STOP THE MIGRANT BOATS: Our government, must arrest the illegal boat traffickers, put them in prison, use their illegally gained money to fund supportive action! Migrants, refugees don’t only come from Ukraine, currently NO Visa systems for legal Afghan and Syrian refugees.']"
1476,"['@pritipatel @Conservatives STOP THE MIGRANT BOATS: Our government, must arrest the illegal boat traffickers, put them in prison, use their illegally gained money to fund supportive action! Migrants, refugees don’t only come from Ukraine, currently NO Visa systems for legal Afghan and Syrian refugees.']"
1477,['The series of meetings came as a broader Russian and Syrian push to publicly call for Syrian refugees to return to the country.\n\nhttps://t.co/qC1JmvCUgm']
1478,"['When you make a donation to help #SyrianRefugees in #Iraq between 7 am and 11:59 pm EDT on June 20, @GlobalGiving will match your donation at 100 percent! Click the link to learn more and make a donation https://t.co/1wurpoj1Kv https://t.co/1CMjs1qVts']"
1479,"['@Rainbow_Girl_UK @sophielouisecc Now that is an excellent point. We refused to engage with the Syrian civil war and guess what… millions of Refugees flooding into Europe. And.. we reduce the overseas aid budget, increasing instability and leading to…millions of Refugees flooding into Europe…etc']"
1480,"[""'Every person has the right to seek safety' — @GhazalMia, a UNHCR Goodwill Ambassador and the first woman Syrian refugee pilot, explains where refugees come from and where they often go #WithRefugees #WorldRefugeeDay (with @Refugees) https://t.co/SEx59wcKXf""]"
1481,"[""Worldwide Bloggers Top story: @GMB: '.@adilray and @thequentinletts debate why there are legal visa systems in place for Ukrainian refugees, but not for Afghan and Syrian refugees.\n\nWatch GMB on ITV and on ITV Hub 👉 ht… https://t.co/dUc32hEgdm, see more https://t.co/298ymzB2e2""]"
1482,['@CarlosS1kRR @mrjamesob Yes. As far as I can see the only difference between Ukrainian refugees and Syrian or Afghan refugees is skin colour and/or religion.']
1483,['@GaryLineker @JeffPepperell Provide an online visa application service to allow Syrian and Afghan refugees apply for asylum. I.e provide a legal application route. Like we did for Ukraine and Hong Kong. Then there’d be no need for illegal crossings. Just a thought mate']
1484,"['Show of Force in the Bekaa - ""I\'ll bulldoze the tents and all that is inside"" - this is how a landlord threatened Syrian refugees when they were unable to secure 25 workers for him.']"
1485,"['Yes, it’s equally bad, and liberals have already been calling Denmark out on their horrifically racist and cruel treatment of Syrian refugees for ages before this, it’s not our fault you don’t pay attention. https://t.co/rWjcZc04dk']"
1486,"['Join me June 20th at @ConnectNKorea\'s webinar: ""Enabling Resilience: Mental Health Practice in Refugee Communities"". I\'m honored to have the opportunity to participate in this discussion and speak of @Beyond_Conflict work in Jordan with Syrian refugees. #WorldRefugeeDay https://t.co/bIFjsxPv46']"
1487,"[""@Richardgoulden6 @curranhung @furbabygirl @GMB As Adil Ray stated, there are no proper legal channels for Syrian and Afgan refugees, that's the whole point""]"
1488,['@Diannebrown128 @Jaxon_000 @GMB @adilray @thequentinletts Dianne - one of the refugees who was saved from being sent to Rwanda was a 19 year old Syrian man/boy whose entire family had already been granted asylum in the UK. They had been given asylum because their homeland is at war.']
1489,['@GMB @adilray @thequentinletts They aren’t Afghan or Syrian refugees']
1490,"[""@GMB @adilray @DominicRaab RACIST! Wow, he just put it out there. Extra checks on people who might cause 'us' harm in regards to checks on Afghan and Syrian refugees. Wow!""]"
1491,"['As @GMB showed today, @thequentinletts is as thin-skinned as he is ignorant. If he is incapable of answering a simple question about why there is an online application process for Ukrainian refugees but not Syrian ones, what is the point of booking him? 🙄']"
1492,"['#VyacheslavMatuzov, the former Russian diplomat: The satellite images published by the Ministry of Defense show the size of the large camp,  contains tens of thousands of refugees whom the #UnitedStates prevents from returning to their homes in Palmyra and other Syrian cities https://t.co/Qc7EeMYFxu']"
1493,['Denmark reverses residence decisions for hundreds of Syrian refugees [Thelocal]\nhttps://t.co/iwiHYmpZBj']
1494,['Denmark reverses residence decisions for hundreds of Syrian refugees\nhttps://t.co/W3oFgr0NB7']
1495,['#refugees in Rukban camp are being held by the American forces which also prevent the entry of the #RedCross and  Syrian military police and this is evidence that they are holding on to this camp as a basis for keeping the militants and the American #military base in #AlTanf https://t.co/4wZxTlP4hT']
1496,"['Turkish Interior Minister Suleiman Soylu:\n\n“At the moment, there are 3 million 700 thousand Syrian refugees in Turkey”']"
1497,"['@mrjamesob Can anyone tell me what the available ""legal routes"" are for Syrian and Afghan refugees?']"
1498,"['#AlRukban camp located in eastern Syria next to the American Al-Tanf base,    there are Syrian #refugees who are suffering in difficult and inhuman conditions with the absence of #internationalorganizations and the international community’s https://t.co/FsWzEbcwFo']"
1499,"['@EdwardoYazzie @IainDale Correct me if I am wrong but I thought most Ukrainian refugees are women &amp; children whilst most Syrian/afghans are young men, perhaps this is one answer, and if course the Ukrainians want to go home asap, not sure if that is the same for the others']"
1500,"['@darrengrimes_ STOP THE MIGRANT BOATS: Our government, must arrest the illegal boat traffickers, put them in prison, use their illegally gained money to fund supportive action! Migrants, refugees don’t only come from Ukraine, currently NO Visa systems for legal Afghan and Syrian refugees.']"
1501,"['@jamesjohnson252 STOP THE MIGRANT BOATS: Our government, must arrest the illegal boat traffickers, put them in prison, use their illegally gained money to fund supportive action! Migrants, refugees don’t only come from Ukraine, currently NO Visa systems for legal Afghan and Syrian refugees.']"
1502,"['@BertiesHandlers @jamesjohnson252 @paulsquires5 STOP THE MIGRANT BOATS: Our government, must arrest the illegal boat traffickers, put them in prison, use their illegally gained money to fund supportive action! Migrants, refugees don’t only come from Ukraine, currently NO Visa systems for legal Afghan and Syrian refugees.']"
1503,"['@GMB @adilray @thequentinletts That Quentin bloke is a bit of a snowflake isn’t he. Bottom line is Advil is correct, we’ve rolled out the welcome mat for Ukrainian refugees &amp; slammed the door on Syrian &amp; Afghanistan etc refugees!']"
1504,"['@issymknight @DisgruntledCare Asylum seekers by definition are not illegal until their case is heard. They can only apply once on British soil and there is no legal route to do that. Ukrainian refugees can apply on line, but not Syrian or Afghans.']"
